帕克索尔语词汇,IPA音标,TTS友好发音拼写
sul,/suːl/,sool
gomä,/goˈmæ/,goh-may
drak,/drɑːk/,drahk
zaka,/ˈzɑːkɑ/,zah-kah
zakil,/ˈzɑːkil/,zah-keel
skal,/skɑːl/,skaahl
höka,/ˈhøːkɑ/,huh-kah
lif,/liːf/,leef
död,/døːd/,duhd
mova,/ˈmoːvɑ/,moh-vah
fam,/fɑːm/,faahm
ven,/veːn/,vayn
fien,/fiːɛn/,fee-en
tid,/tiːd/,teed
hel,/heːl/,hayl
rit,/riːt/,reet
löva,/ˈløːvɑ/,luh-vah
löv-sel,/ˈløːv sɛl/,luhv-sel
sang,/sɑːŋ/,saang
sanga,/ˈsɑːŋɑ/,saan-gah
vat,/vɑːt/,vaht
eld,/ɛld/,eld
sten,/steːn/,stayn
trä,/træː/,tray
mi,/miː/,mee
ti,/tiː/,tee
hon,/hoːn/,hohn
miz,/miːz/,mees
tiz,/tiːz/,tees
honz,/hoːnz/,hohnz
se,/seː/,say
so,/soː/,soh
Kul,/kuːl/,kool
Kas,/kɑːs/,kahs
Kör,/køːr/,kuhr
Kval,/kvɑːl/,kvaahl
Khün,/xyn/,khuhn
Kel,/keːl/,kayl
ön,/øːn/,uhn
nun,/nuːn/,noon
ro,/roː/,roh
tul,/tuːl/,tool
vlön,/vløːn/,vluhn
dö,/døː/,duh
vör,/vøːr/,vuhr
nön,/nøːn/,nuhn
vans,/vɑːns/,vaahns
rüs,/ryːs/,ruys
foz,/foːz/,fohz
böka,/ˈbøːkɑ/,buh-kah
zekva,/ˈzeːkvɑ/,zay-kvah
öm,/øːm/,uhm
setva,/ˈseːtvɑ/,say-tvah
na,/nɑː/,nah
es,/ɛs/,es
ha,/hɑː/,hah
lifa,/ˈliːfɑ/,lee-fah
döda,/ˈdøːdɑ/,duh-dah
skala,/ˈskɑːlɑ/,skaa-lah
höker,/ˈhøːkɛr/,huh-ker
zaker,/ˈzɑːkɛr/,zah-ker
mover,/ˈmoːvɛr/,moh-ver
famil,/fɑːˈmiːl/,fah-meel
venskap,/ˈveːnˌskɑːp/,vayn-skaap
fienskap,/ˈfiːɛnˌskɑːp/,fee-en-skaap
drakskal,/ˈdrɑːkˌskɑːl/,drahk-skaal
sulgom,/ˈsuːlˌgoːm/,sool-gohm
fozank,/ˈfoːzɑŋk/,foh-zaangk
helgom,/ˈheːlˌgoːm/,hayl-gohm
skapsel,/ˈskɑːpsɛl/,skaap-sel
moving,/ˈmoːviŋ/,moh-ving
fjali,/ˈfjɑːli/,fyaah-lee
nuli,/ˈnuːli/,noo-lee
djuni,/ˈjuːni/,yoo-nee
suli,/ˈsuːli/,soo-lee
draklik,/ˈdrɑːkˌlik/,drahk-lik
mova-foznol,/ˈmoːvɑ ˈfoːznɔl/,moh-vah fohz-nohl
mova-nol,/ˈmoːvɑ nɔl/,moh-vah nohl
moba-böknol,/ˈmoːvɑ ˈbøːknɔl/,moh-vah buhk-nohl
zaka-foznol,/ˈzɑːkɑ ˈfoːznɔl/,zah-kah fohz-nohl
zaka-nol,/ˈzɑːkɑ nɔl/,zah-kah nohl
zaka-böknol,/ˈzɑːkɑ ˈbøːknɔl/,zah-kah buhk-nohl
höka-foznol,/ˈhøːkɑ ˈfoːznɔl/,huh-kah fohz-nohl
höka-nol,/ˈhøːkɑ nɔl/,huh-kah nohl
höka-böknol,/ˈhøːkɑ ˈbøːknɔl/,huh-kah buhk-nohl
Sul hel,/suːl heːl/,sool hayl
Zakil hel,/ˈzɑːkil heːl/,zah-keel hayl
Sul va,/suːl vɑː/,sool vah
Sul hö mi,/suːl høː miː/,sool huh mee
Sul zaka,/suːl ˈzɑːkɑ/,sool zah-kah
Fozank mova,/ˈfoːzɑŋk ˈmoːvɑ/,foh-zaangk moh-vah
na mova,/nɑː ˈmoːvɑ/,nah moh-vah
na lif,/nɑː liːf/,nah leef
persön,/pɛrˈsøːn/,per-suuhn
plats,/plɑːts/,plahts
ting,/tiːŋ/,teeng
konsept,/kɔnˈsɛpt/,kohn-sept
skor,/skoːr/,skohr
elda,/ˈɛldɑ/,el-dah
barn,/bɑːrn/,baarn
äldra,/ˈæːldrɑ/,ayl-drah
hantverkar,/ˈhɑːntˌvɛrˌkɑːr/,haant-ver-kaahr
väktar,/ˈvɛːktɑr/,vayk-tahr
himmel,/ˈhɪmːɛl/,him-mel
jord,/juːrd/,yurd
hav,/hɑːv/,haav
flod,/fluːd/,flood
berg,/bɛrj/,ber-y
skog,/skuːɡ/,skoog
blomma,/ˈblɔmːɑ/,blom-mah
frukt,/frukt/,frookt
frö,/frøː/,fruh
måne,/ˈmoːnɛ/,moh-neh
sol,/soːl/,sohl
stjärna,/ˈɧæːɳɑ/,shyair-nah
väg,/vɛːj/,vay
bro,/bruː/,broo
hus,/huːs/,hoos
verktyg,/ˈvɛrːkˌtyːj/,vairk-tooy
vapen,/ˈvɑːpɛn/,vaah-pen
mat,/mɑːt/,maht
dryck,/drʏk/,dryk
luft,/lɵft/,luft
ljus,/jʉːs/,yuhs
mörker,/ˈmœrːkɛr/,muhr-ker
värme,/ˈværːmɛ/,vair-meh
kyla,/ˈcyːlɑ/,syoo-lah
kraft,/krɑːft/,kraaft
visdom,/ˈviːsˌdɔm/,vees-dom
mod,/muːd/,mood
fred,/freːd/,frayd
krig,/kriːj/,kree
rättvisa,/ˈrɛtːˌviːsɑ/,ret-vee-sah
sanning,/ˈsanːɪŋ/,san-neeng
lögn,/løːjn/,luhyn
hopp,/hɔp/,hop
förtvivlan,/ˈfœrtˌviːvˌlɑːn/,fuirt-veev-laahn
glädje,/ˈjläːdʲjɛ/,yuh-lay-dyeh
sorg,/sɔrj/,sory
ilska,/ˈɪlskɑ/,il-skah
rädd,/rɛd/,red
hata,/ˈhɑːtɑ/,haah-tah
hjälpa,/ˈjɛlːpɑ/,yel-pah
skada,/ˈskɑːdɑ/,skaa-dah
skapa,/ˈskɑːpɑ/,skaa-pah
förstöra,/fœrˈɧtøːrɑ/,fuir-shuhr-rah
bygga,/ˈbyjːɑ/,buy-yah
riva,/ˈriːvɑ/,ree-vah
börja,/ˈbœrːjɑ/,buur-yah
sluta,/ˈslʉːtɑ/,sluu-tah
fortsätta,/fɔrtsˈsɛtːɑ/,firts-set-tah
stanna,/ˈstɑnːɑ/,stan-nah
söka,/ˈsøːkɑ/,suh-kah
hitta,/ˈhɪtːɑ/,hit-tah
förlora,/fœrˈluːrɑ/,fuir-loo-rah
ge,/jeː/,yay
ta emot,/tɑː ɛˈmuːt/,tah eh-moot
lära,/ˈlæːrɑ/,lay-rah
undervisa,/ˈɵnːdɛrˌviːsɑ/,uhn-der-vee-sah
tala,/ˈtɑːlɑ/,taa-lah
lyssna,/ˈlyːsːnɑ/,luys-nah
tänka,/ˈtɛŋkɑ/,teng-kah
minnas,/ˈmɪnːɑs/,min-naas
glömma,/ˈjlœmːɑ/,yuh-luum-mah
gå,/goː/,goh
springa,/ˈsprɪŋːɑ/,spring-gah
simma,/ˈsɪmːɑ/,sim-mah
flyga,/ˈflyːjɑ/,flyu-yah
arbeta,/ˈɑːrˌbeːtɑ/,aahr-bay-tah
vila,/ˈviːlɑ/,vee-lah
sova,/ˈsuːvɑ/,soo-vah
vakna,/ˈvɑːknɑ/,vaak-nah
födas,/ˈføːdɑs/,fuud-as
växa,/ˈvɛːksɑ/,vayk-sah
ändra,/ˈɛnːdrɑ/,enn-drah
behålla,/bɛˈhoːlɑ/,beh-hohl-ah
stor,/stuːr/,stoor
liten,/ˈliːtɛn/,lee-ten
hög,/høːj/,huh
låg,/loːj/,loh
lång,/loːŋ/,long
kort,/kɔrt/,kort
bred,/breːd/,brayd
smal,/smɑːl/,smaal
tjock,/ɕʊk/,shook
tunn,/tɵn/,tuhn
tung,/tɵŋ/,tuhng
lätt,/lɛt/,let
hård,/hoːrd/,hood
mjuk,/jʉːk/,yuuk
varm,/vɑːrm/,vaarm
kall,/kal/,kal
våt,/voːt/,vot
torr,/tɔr/,tor
ren,/reːn/,rayn
smutsig,/ˈsmɵtsɪj/,smuut-sig
vacker,/ˈvakːɛr/,vak-ker
ful,/fuːl/,fool
bra,/brɑː/,braa
dålig,/ˈdoːlɪj/,doh-lij
rätt,/rɛt/,ret
fel,/feːl/,fayl
viktig,/ˈvɪkːtɪj/,vik-tij
oviktig,/oˈvɪkːtɪj/,oh-vik-tij
enkel,/ˈɛŋkɛl/,enk-el
komplex,/kɔmˈplɛks/,kom-pleks
snabb,/snab/,snab
långsam,/ˈloːŋsɑm/,long-sam
ung,/ɵŋ/,uhng
gammal,/ˈjamːɑl/,yaam-aal
stark,/stɑːrk/,staark
svag,/svɑːj/,svaay
frisk,/frɪsk/,frisk
sjuk,/ɧʉːk/,shuhk
levande,/lɛˈvɑnːdɛ/,leh-van-deh
död,/døːd/,duhd
verklig,/ˈvɛrːklɪj/,vairk-lij
osann,/oˈsan/,oh-san
säker,/ˈsæːkɛr/,say-ker
farlig,/ˈfɑːrlɪj/,faar-lij
vänlig,/ˈvɛnːlɪj/,ven-lij
fientlig,/ˈfiːɛntlɪj/,fee-ent-lij
ärlig,/ˈærːlɪj/,air-lij
bedräglig,/bɛˈdræːjlɪj/,beh-dray-jlij
modig,/ˈmuːdɪj/,moo-dij
feg,/feːj/,fay
glatt,/jlat/,ylat
sorgligt,/ˈsɔrːjlɪt/,sor-ylit
ilsket,/ˈɪlskɛt/,il-sket
lugnt,/lɵnt/,lunt
snabbt,/ˈsnabt/,snabt
långsamt,/ˈloːŋsɑmt/,long-samt
försiktigt,/fœrˈsɪkːtɪjt/,fuir-sik-tijt
oaktsamt,/oˈaktsɑmt/,oh-akts-amt
seriöst,/seˈriːøːst/,seh-ree-uust
lätt,/lɛt/,let
svårt,/svoːrt/,svort
ofta,/ˈɔftɑ/,oft-ah
sällan,/ˈsɛlːɑn/,sel-laahn
aldrig,/ˈalːdrɪj/,aal-drij
alltid,/ˈalːtiːd/,aal-teed
idag,/iˈdɑːj/,ih-daay
igår,/iˈgoːr/,ih-goohr
imorgon,/iˈmɔrːjɔn/,ih-mor-yon
nu,/nuː/,noo
nyss,/nʏs/,nys
snart,/snɑːrt/,snaart
länge,/ˈlɛŋɛ/,len-geh
morgon,/ˈmɔrːjɔn/,mor-yon
eftermiddag,/ˈɛftɛrˌmɪdːɑːj/,eft-er-mid-daay
kväll,/kvɛl/,kvel
natt,/nat/,nat
vår,/voːr/,vohr
sommar,/ˈsɔmar/,soh-mar
höst,/hœst/,hurst
vinter,/ˈvɪntɛr/,vin-ter
anti,/ˈanti/,ahn-tee
oti,/ˈoti/,oh-tee
zati,/ˈzɑːti/,zaa-tee
furi,/ˈfuːri/,foo-ree
femi,/ˈfeːmi/,fay-mee
sexi,/ˈsɛksi/,sek-see
sepi,/ˈseːpi/,say-pee
akti,/ˈakti/,ak-tee
nini,/ˈniːni/,nee-nee
deki,/ˈdeːki/,day-kee
dekanti,/deˈkanti/,deh-kahn-tee
dekoti,/deˈkoti/,deh-koh-tee
dekzati,/deˈkzɑːti/,deh-kzaa-tee
dekfuri,/deˈkfuri/,deh-kfoo-ree
dekfemi,/deˈkfemi/,deh-kfay-mee
deksexi,/deˈksek.si/,deh-ksek-see
deksepi,/deˈkseːpi/,deh-kay-pee
dekakti,/deˈkakti/,deh-kak-tee
deknini,/deˈkniːni/,deh-knee-nee
tventi,/ˈtventi/,tven-tee
trenti,/ˈtrenti/,tren-tee
förti,/ˈfœrti/,fuirt-tee
femti,/ˈfemti/,fem-tee
hundra,/ˈhɵndrɑ/,huhn-drah
första,/ˈfœrːstɑ/,fuurst-ah
andra,/ˈanːdrɑ/,aan-drah
